alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
1.0,79147,11932,85,79147,51106,35,79147,31093,61,79147,56631,28,79147,59240,25,79147,75012,5,79147,61795,22,79147,66524,16,79147,68260,14,79147,68805,13,79147,7641,90,79147,36629,54,79147,24659,69,79147,59837,24,79147,17319,78
1.0,79147,21402,73,79147,53562,32,79147,13192,83,79147,74652,6,79147,55227,30,79147,63015,20,79147,64331,19,79147,79147,0,79147,70741,11,79147,73129,8,79147,13803,83,79147,36802,54,79147,14466,82,79147,74652,6,79147,32307,59
1.0,79147,16416,79,79147,44166,44,79147,10415,87,79147,53005,33,79147,48657,39,79147,66647,16,79147,53163,33,79147,67071,15,79147,72376,9,79147,77154,3,79147,9309,88,79147,38236,52,79147,8642,89,79147,46696,41,79147,14306,82
1.0,67522,19371,71,67522,12824,81,67522,11398,83,67522,59981,11,67522,31988,53,67522,46746,31,67522,45456,33,67522,59159,12,67522,39750,41,67522,45668,32,67522,7413,89,67522,9724,86,67522,1233,98,67522,51618,24,67522,3641,95
1.0,79147,4962,94,79147,25412,68,79147,13944,82,79147,62583,21,79147,62321,21,79147,65208,18,79147,54829,31,79147,66513,16,79147,65560,17,79147,66031,17,79147,5330,93,79147,9645,88,79147,2877,96,79147,53937,32,79147,5601,93
1.0,53911,11616,78,53911,12379,77,53911,19877,63,53911,40178,25,53911,38662,28,53911,38882,28,53911,20014,63,53911,47766,11,53911,49062,9,53911,42335,21,53911,2128,96,53911,3608,93,53911,511,99,53911,34033,37,53911,5215,90
1.0,79147,7398,91,79147,39326,50,79147,3723,95,79147,67708,14,79147,66381,16,79147,62026,22,79147,60338,24,79147,68302,14,79147,62047,22,79147,64711,18,79147,8991,89,79147,32325,59,79147,4744,94,79147,56863,28,79147,16372,79
1.0,58820,7429,87,58820,40770,31,58820,18548,68,58820,44955,24,58820,30598,48,58820,35716,39,58820,35731,39,58820,44311,25,58820,47630,19,58820,45023,23,58820,6546,89,58820,25866,56,58820,13687,77,58820,30445,48,58820,10796,82
1.0,79147,5086,94,79147,43901,45,79147,4134,95,79147,62168,21,79147,48517,39,79147,67629,15,79147,71233,10,79147,53495,32,79147,52002,34,79147,66706,16,79147,4026,95,79147,33963,57,79147,4134,95,79147,36516,54,79147,6210,92
1.0,79147,22512,72,79147,43027,46,79147,16810,79,79147,55245,30,79147,45123,43,79147,71008,10,79147,29247,63,79147,62838,21,79147,59948,24,79147,75778,4,79147,9346,88,79147,45101,43,79147,10078,87,79147,49939,37,79147,15894,80
