alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
1.0,79147,-10193,113,79147,-11785,115,79147,-9660,112,79147,11925,85,79147,-1743,102,79147,-2514,103,79147,-2864,104,79147,-3311,104,79147,-13766,117,79147,-17388,122,79147,-146029,285,79147,-152626,293,79147,-78420,199,79147,-66547,184,79147,-246892,412
1.0,79147,-5679,107,79147,-2575,103,79147,-16742,121,79147,-4553,106,79147,-12607,116,79147,-25451,132,79147,-1797,102,79147,1249,98,79147,7994,90,79147,-11966,115,79147,-124864,258,79147,-137155,273,79147,-97687,223,79147,-65546,183,79147,-202498,356
1.0,79147,-6081,108,79147,-21643,127,79147,-6881,109,79147,-17778,122,79147,-14653,119,79147,-10235,113,79147,11401,86,79147,-6085,108,79147,-28586,136,79147,-20479,126,79147,-126224,259,79147,-179567,327,79147,-47208,160,79147,-89645,213,79147,-237094,400
1.0,79147,-2987,104,79147,-2694,103,79147,-3298,104,79147,-10496,113,79147,-9552,112,79147,-4807,106,79147,-15754,120,79147,-3080,104,79147,-432,101,79147,9592,88,79147,-145143,283,79147,-111017,240,79147,-87294,210,79147,-86788,210,79147,-230672,391
1.0,79147,6568,92,79147,-16385,121,79147,2216,97,79147,-7267,109,79147,1789,98,79147,-14006,118,79147,-221,100,79147,-4576,106,79147,-4102,105,79147,-1168,101,79147,-134809,270,79147,-151408,291,79147,-62526,179,79147,-79088,200,79147,-225032,384
1.0,79147,1727,98,79147,-8555,111,79147,-987,101,79147,6684,92,79147,-4259,105,79147,-4370,106,79147,-10298,113,79147,809,99,79147,-4853,106,79147,-10736,114,79147,-128348,262,79147,-125704,259,79147,-74485,194,79147,-53649,168,79147,-198993,351
1.0,79147,3318,96,79147,-1110,101,79147,-15242,119,79147,-23377,130,79147,-13609,117,79147,-12386,116,79147,5407,93,79147,-1393,102,79147,-11280,114,79147,-19986,125,79147,-112375,242,79147,-143116,281,79147,-88983,212,79147,-97013,223,79147,-227704,388
1.0,79147,-2446,103,79147,-7702,110,79147,-5135,106,79147,-5196,107,79147,29003,63,79147,-1493,102,79147,11481,85,79147,1600,98,79147,-6592,108,79147,-5187,107,79147,-93142,218,79147,-136386,272,79147,-64886,182,79147,-72426,192,79147,-170057,315
1.0,79147,-12457,116,79147,-15711,120,79147,-4950,106,79147,-11286,114,79147,-9921,113,79147,2160,97,79147,2205,97,79147,-13235,117,79147,-21131,127,79147,-20973,126,79147,-141157,278,79147,-147990,287,79147,-64321,181,79147,-84183,206,79147,-220543,379
1.0,79147,-2808,104,79147,-8774,111,79147,-19012,124,79147,-5896,107,79147,-389,100,79147,-7735,110,79147,-3318,104,79147,-14191,118,79147,1289,98,79147,14367,82,79147,-127965,262,79147,-106999,235,79147,-79361,200,79147,-83404,205,79147,-190244,340
